"Id","ProcessName"
"4520","svchost"
"4528","svchost"
"4948","svchost"
"4960","svchost"
"5124","svchost"
"5164","svchost"
"5180","svchost"
"5276","svchost"
"5476","svchost"
"5536","svchost"
"5572","svchost"
"5752","svchost"
"5800","svchost"
"5860","svchost"
"6268","svchost"
"6300","svchost"
"6416","svchost"
"6492","svchost"
"6540","svchost"
"6564","svchost"
"6696","svchost"
"6712","svchost"
"6760","svchost"
"7080","svchost"
"8792","svchost"
"10428","svchost"
"11720","svchost"
"11936","svchost"
"12008","svchost"
"12164","svchost"
"12188","svchost"
"12248","svchost"
"12468","svchost"
"12516","svchost"
"12772","svchost"
"12948","svchost"
"13000","svchost"
"13148","svchost"
"13664","svchost"
"13764","svchost"
"13776","svchost"
"15208","svchost"
"15900","svchost"
"16024","svchost"
"16164","svchost"
"16292","svchost"
"16324","svchost"
"19000","svchost"
"19400","svchost"
"20532","svchost"
"22072","svchost"
"22168","svchost"
"22588","svchost"
"23984","svchost"
"24972","svchost"
"27868","svchost"
"33456","svchost"
"43644","svchost"
"45732","svchost"
"45832","svchost"
"46064","svchost"
"4","System"
"25108","SystemSettings"
"13788","taskhostw"
"20744","Taskmgr"
"6116","TextInputHost"
"6620","ThermalPrintingService"
"6768","tvnserver"
"16380","tvnserver"
"8312","uhssvc"
"12200","unsecapp"
"15652","unsecapp"
"20936","UserOOBEBroker"
"6812","vmnat"
"6672","vmnetdhcp"
"6612","vmware-authd"
"24248","vmware-tray"
"6780","vmware-usbarbitrator64"
"6740","WavesAudioService"
"12176","WavesSvc64"
"6652","WavesSysSvc64"
"6632","WDTRpcServer"
"19104","Widgets"
"19340","WidgetService"
"18012","WindowsTerminal"
"1732","wininit"
"1636","winlogon"
"6964","WINWORD"
"5348","wlanext"
"4296","WmiPrvSE"
"11328","WmiPrvSE"
"37220","WmiPrvSE"
"6704","WMIRegistrationService"
"11448","WUDFHost"
"11928","WUDFHost"
"22204","WUDFHost"
